stationame,count
Wilson,133
Howard,132
Central-Lake,132
Cicero-Lake,132
Pulaski-Lake,132
Conservatory,132
Kedzie-Lake,132
California-Lake,132
Ashland-Lake,132
Morgan-Lake,132
Clinton-Lake,132
35-Bronzeville-IIT,132
Indiana,132
43rd,132
47th-South Elevated,132
51st,132
Garfield-South Elevated,132
Laramie,132
Austin-Lake,132
East 63rd-Cottage Grove,132
Kedzie-Cermak,132
Forest Park,132
Polk,132
18th,132
Damen-Cermak,132
Western-Cermak,132
California-Cermak,132
Central Park,132
Ridgeland,132
Pulaski-Cermak,132
Kostner,132
Cicero-Cermak,132
54th/Cermak,132
Harlem-Lake,132
Oak Park-Lake,132
King Drive,132
Halsted/63rd,132
Jarvis,132
Halsted-Orange,132
Midway Airport,132
Pulaski-Orange,132
Kedzie-Midway,132
Western-Orange,132
35th/Archer,132
Ashland-Orange,132
Washington/Wells,132
Ashland/63rd,132
Quincy/Wells,132
LaSalle/Van Buren,132
Library,132
Adams/Wabash,132
State/Lake,132
Clark/Lake,132
Merchandise Mart,132
Chicago/Franklin,132
Sedgwick,132
Armitage,132
Diversey,132
Wellington,132
Southport,132
Paulina,132
Addison-Brown,132
Irving Park-Brown,132
Montrose-Brown,132
Damen-Brown,132
Western-Brown,132
Rockwell,132
Francisco,132
Kedzie-Brown,132
Kimball,132
Harlem-Forest Park,132
Oak Park-Forest Park,132
Austin-Forest Park,132
South Boulevard,132
Dempster,132
Davis,132
Foster,132
Cicero-Forest Park,132
Central-Evanston,132
Linden,132
Roosevelt,132
Harrison,132
Jackson/State,132
Monroe/State,132
Lake/State,132
Grand/State,132
Chicago/State,132
Clark/Division,132
North/Clybourn,132
Fullerton,132
Belmont-North Main,132
Addison-North Main,132
Sheridan,132
Argyle,132
Bryn Mawr,132
Thorndale,132
Granville,132
Loyola,132
Morse,132
Main,132
Noyes,132
Western/Milwaukee,132
Western-Forest Park,132
Chicago/Milwaukee,132
Division/Milwaukee,132
Monroe/Dearborn,132
Logan Square,132
Belmont-O'Hare,132
Jackson/Dearborn,132
LaSalle,132
Clinton-Forest Park,132
UIC-Halsted,132
Washington/Dearborn,132
Medical Center,132
Kedzie-Homan-Forest Park,132
Pulaski-Forest Park,132
Addison-O'Hare,132
Irving Park-O'Hare,132
Montrose-O'Hare,132
Jefferson Park,132
Harlem-O'Hare,132
Cumberland,132
Rosemont,132
O'Hare Airport,132
Grand/Milwaukee,132
California/Milwaukee,131
Damen/Milwaukee,131
Racine,130
Oakton-Skokie,128
Dempster-Skokie,128
Cermak-Chinatown,128
Sox-35th-Dan Ryan,128
47th-Dan Ryan,128
Garfield-Dan Ryan,128
63rd-Dan Ryan,128
69th,128
79th,128
87th,128
95th/Dan Ryan,128
Cermak-McCormick Place,107
Lawrence,101
Berwyn,101
Washington/Wabash,76
Randolph/Wabash,57
Madison/Wabash,27
